138534.757,178112.868,72.374
138529.767,178133.598,72.173
138524.745,178154.513,71.952
138519.415,178176.812,71.724
138514.896,178195.622,71.519
138510.119,178215.541,71.301
138505.949,178232.917,71.122
138502.190,178248.520,70.963
138498.981,178261.847,70.817
138495.354,178276.946,70.646
138491.513,178293.139,70.443
138488.360,178306.688,70.285
138485.715,178318.329,70.167
138482.763,178331.682,70.041
138479.643,178346.404,69.869
138476.638,178361.337,69.684
138474.360,178373.237,69.52
138471.937,178386.450,69.335
138471.808,178387.185,69.325
138469.297,178401.688,69.143
138467.061,178415.359,68.987
138465.108,178428.060,68.828
138463.073,178442.106,68.618
138461.157,178456.290,68.41
138459.490,178469.490,68.23
138457.910,178482.850,68.033
138456.290,178497.712,67.827
138454.889,178511.835,67.631
138453.681,178525.418,67.456
138452.597,178539.217,67.285
138451.633,178553.312,67.114
138450.792,178567.810,66.937
138450.113,178582.010,66.769
138449.593,178595.909,66.605
138449.212,178609.559,66.45
138448.944,178624.058,66.288
138448.822,178638.271,66.117
138448.833,178651.628,65.951
138448.965,178665.626,65.787
138448.976,178666.242,65.779
138449.262,178681.177,65.611
138449.661,178695.225,65.439
138450.145,178708.335,65.272
138450.753,178721.531,65.086
138451.732,178738.916,64.884
138452.941,178756.734,64.668
138454.546,178776.713,64.408
138455.878,178791.177,64.22
138457.479,178806.790,64.003
138459.030,178820.540,63.813
138460.609,178833.491,63.63
138462.462,178847.616,63.428
138464.578,178862.624,63.187
138466.629,178876.207,62.985
138468.664,178889.020,62.781
138861.980,179698.889,53.788
138849.087,179681.402,53.861
138836.718,179664.600,53.906
138824.582,179648.111,53.927
138811.996,179631.007,53.976
138799.582,179614.125,53.999
138787.183,179597.276,54.02
138774.851,179580.505,54.037
138765.346,179567.570,54.051
138764.736,179566.739,54.05
138754.064,179552.197,54.07
138745.541,179540.533,54.088
138737.101,179528.883,54.111
138729.787,179518.699,54.133
138721.248,179506.645,54.163
138713.092,179494.946,54.192
138705.860,179484.368,54.214
138699.741,179475.215,54.273
138689.971,179460.364,54.393
138682.715,179449.070,54.499
138675.575,179437.753,54.62
138668.706,179426.649,54.736
138660.222,179412.630,54.883
138653.756,179401.723,55.0
138647.109,179390.276,55.123
138640.545,179378.736,55.251
138632.406,179364.087,55.421
138625.939,179352.176,55.566
138619.329,179339.729,55.721
138613.065,179327.677,55.874
138606.315,179314.384,56.046
138600.186,179302.021,56.209
138599.822,179301.267,56.219
138594.010,179289.252,56.377
138588.633,179277.882,56.529
138582.095,179263.737,56.717
138576.439,179251.173,56.89
138570.606,179237.877,57.081
138565.065,179224.942,57.272
138559.821,179212.364,57.465
138554.543,179199.383,57.672
138549.227,179185.885,57.894
138544.538,179173.596,58.1
138539.499,179159.991,58.331
138534.659,179146.475,58.567
138529.971,179132.978,58.805
138525.450,179119.571,59.034
138521.275,179106.785,59.253
138516.933,179093.089,59.48
138513.251,179081.099,59.674
138468.782,178889.752,62.77
138471.202,178904.141,62.532
138473.521,178917.196,62.298
138475.975,178930.231,62.077
138478.687,178944.061,61.838
138480.569,178953.243,61.698
138481.579,178958.052,61.632
138482.581,178962.740,61.568
138483.610,178967.475,61.502
138484.666,178972.202,61.423
138485.737,178976.935,61.353
138488.214,178987.705,61.205
138490.812,178998.668,61.042
138494.387,179013.140,60.818
138497.924,179026.886,60.6
138501.576,179040.499,60.367
138505.050,179053.024,60.153
138509.132,179067.214,59.91
138512.997,179080.208,59.689
